PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
106,T1,19,bug_total,0,1,1,204,119018,583.4215686274509
106,T1,19,bug_priority,1,1,1,0,0,NA
106,T1,19,bug_author,2,1,1,23,9041,393.0869565217391
106,T1,19,bug_summary,3,1,1,31,15014,484.3225806451613
106,T1,19,bug_patch_code,4,1,1,127,80785,636.1023622047244
106,T2,10,bug_total,0,0,0,320,162584,508.075
106,T2,10,bug_priority,1,0,0,1,617,617.0
106,T2,10,bug_author,2,0,0,34,17298,508.7647058823529
106,T2,10,bug_summary,3,0,0,159,72492,455.92452830188677
106,T2,10,bug_patch_code,4,0,0,116,65716,566.5172413793103
106,T3,21,bug_total,0,0,0,238,141092,592.8235294117648
106,T3,21,bug_priority,1,0,0,1,749,749.0
106,T3,21,bug_author,2,0,0,17,8107,476.88235294117646
106,T3,21,bug_summary,3,0,0,98,52340,534.0816326530612
106,T3,21,bug_patch_code,4,0,0,113,77039,681.7610619469026
106,T4,16,bug_total,0,1,1,228,172320,755.7894736842105
106,T4,16,bug_priority,1,1,1,1,777,777.0
106,T4,16,bug_author,2,1,1,52,66960,1287.6923076923076
106,T4,16,bug_summary,3,1,1,17,6621,389.47058823529414
106,T4,16,bug_patch_code,4,1,1,133,83288,626.2255639097745
106,T5,5,bug_total,0,1,0,146,86960,595.6164383561644
106,T5,5,bug_priority,1,1,0,0,0,NA
106,T5,5,bug_author,2,1,0,22,11491,522.3181818181819
106,T5,5,bug_summary,3,1,0,32,14107,440.84375
106,T5,5,bug_patch_code,4,1,0,85,57816,680.1882352941177
106,T6,1,bug_total,0,1,1,86,45271,526.4069767441861
106,T6,1,bug_priority,1,1,1,0,0,NA
106,T6,1,bug_author,2,1,1,15,6992,466.1333333333333
106,T6,1,bug_summary,3,1,1,34,16155,475.1470588235294
106,T6,1,bug_patch_code,4,1,1,37,22124,597.9459459459459
