PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,FxRate,TotalFixationTime,AvgFixationDuration,FirstFixation
139,T1,4,Total,A0,1,1,269,1,127760,474.9442379182156,NA
139,T1,4,BugReport,A1,1,1,108,0.40148698884758366,60269,558.0462962962963,1
139,T1,4,RelevantCodeClass,A2,1,1,156,0.5799256505576208,65929,422.62179487179486,11281
139,T1,4,RelevantCodeMethod,A3,1,1,108,0.40148698884758366,47471,439.5462962962963,11281
139,T1,4,RelevantTestClass,A4,1,1,5,0.01858736059479554,1562,312.4,4930
139,T1,4,RelevantTestMethod,A5,1,1,0,0.0,0,NA,NA
139,T1,4,Others,A6,1,1,0,0.0,0,NA,NA
139,T2,15,Total,A0,1,1,399,1,231713,580.734335839599,NA
139,T2,15,BugReport,A1,1,1,228,0.5714285714285714,109838,481.7456140350877,1
139,T2,15,RelevantCodeClass,A2,1,1,152,0.38095238095238093,114604,753.9736842105264,6447
139,T2,15,RelevantCodeMethod,A3,1,1,35,0.08771929824561403,40944,1169.8285714285714,121660
139,T2,15,RelevantTestClass,A4,1,1,19,0.047619047619047616,7271,382.6842105263158,7174
139,T2,15,RelevantTestMethod,A5,1,1,1,0.002506265664160401,143,143.0,25793
139,T2,15,Others,A6,1,1,0,0.0,0,NA,NA
139,T3,5,Total,A0,1,1,243,1,147517,607.0658436213992,NA
139,T3,5,BugReport,A1,1,1,157,0.6460905349794238,80240,511.0828025477707,1
139,T3,5,RelevantCodeClass,A2,1,1,72,0.2962962962962963,61816,858.5555555555555,16003
139,T3,5,RelevantCodeMethod,A3,1,1,65,0.2674897119341564,46322,712.6461538461539,16003
139,T3,5,RelevantTestClass,A4,1,1,14,0.05761316872427984,5461,390.07142857142856,14920
139,T3,5,RelevantTestMethod,A5,1,1,0,0.0,0,NA,NA
139,T3,5,Others,A6,1,1,0,0.0,0,NA,NA
139,T4,21,Total,A0,0,0,182,1,88680,487.25274725274727,NA
139,T4,21,BugReport,A1,0,0,0,0.0,0,NA,NA
139,T4,21,RelevantCodeClass,A2,0,0,0,0.0,0,NA,NA
139,T4,21,RelevantCodeMethod,A3,0,0,0,0.0,0,NA,NA
139,T4,21,RelevantTestClass,A4,0,0,0,0.0,0,NA,NA
139,T4,21,RelevantTestMethod,A5,0,0,0,0.0,0,NA,NA
139,T4,21,Others,A6,0,0,182,1.0,88680,487.25274725274727,1
139,T5,12,Total,A0,0,0,182,1,88680,487.25274725274727,NA
139,T5,12,BugReport,A1,0,0,132,0.7252747252747253,61101,462.8863636363636,1
139,T5,12,RelevantCodeClass,A2,0,0,24,0.13186813186813187,18100,754.1666666666666,24076
139,T5,12,RelevantCodeMethod,A3,0,0,20,0.10989010989010989,13149,657.45,24076
139,T5,12,RelevantTestClass,A4,0,0,26,0.14285714285714285,9479,364.5769230769231,22214
139,T5,12,RelevantTestMethod,A5,0,0,0,0.0,0,NA,NA
139,T5,12,Others,A6,0,0,0,0.0,0,NA,NA
139,T6,18,Total,A0,1,1,408,1,272453,667.7769607843137,NA
139,T6,18,BugReport,A1,1,1,229,0.5612745098039216,113119,493.9694323144105,1
139,T6,18,RelevantCodeClass,A2,1,1,159,0.3897058823529412,153650,966.3522012578617,37076
139,T6,18,RelevantCodeMethod,A3,1,1,49,0.12009803921568628,27654,564.3673469387755,66437
139,T6,18,RelevantTestClass,A4,1,1,20,0.049019607843137254,5684,284.2,70202
139,T6,18,RelevantTestMethod,A5,1,1,0,0.0,0,NA,NA
139,T6,18,Others,A6,1,1,0,0.0,0,NA,NA
